crop_id,name,crop_family,is_nitrogen_fixer,growth_duration_days,water_requirement,ideal_ph_min,ideal_ph_max,n_demand,p_demand,k_demand,avg_yield_per_acre,avg_market_price,avg_cultivation_cost,disease_risk_index,suitable_seasons,avg_temperature_c,avg_humidity_pct,avg_rainfall_mm,total_records
50,Small millets,Cereal,False,110,Medium,5.8,7.2,72.2,36.1,36.1,303.5,35,16000,18.0,"Kharif, Rabi, Zaid",26.5,70.0,1288.9,484
51,Soybean,Legume,True,75,Medium,6.0,7.5,25.0,52.8,45.2,408.7,47.75,14000,18.0,"Kharif, Rabi",26.5,70.0,1319.8,487
52,Sugarcane,Commercial,False,120,Medium,6.0,7.2,57.2,42.9,42.9,21513.1,3.5,38000,18.0,"Kharif, Rabi, Zaid",26.5,70.0,1329.1,605
53,Sunflower,Oilseed,False,120,Medium,6.0,7.2,57.8,43.3,43.3,339.9,50,13000,18.0,"Kharif, Rabi, Zaid",26.5,70.0,1147.5,440
54,Sweet Potato,Vegetable,False,120,Medium,6.0,7.2,57.8,43.3,43.3,3452.0,23.0,16000,18.0,"Kharif, Rabi",26.5,70.0,1291.5,293
55,Tapioca,Vegetable,False,120,Medium,6.0,7.2,60.3,45.2,45.2,4508.2,30.0,16000,18.0,"Kharif, Rabi",26.5,70.0,1563.4,264
56,Tobacco,Commercial,False,120,Medium,6.0,7.2,60.3,45.2,45.2,566.6,95,28000,18.0,"Kharif, Rabi, Zaid",26.5,70.0,1206.3,362
57,Tomato,Solanaceae,False,120,Medium,6.0,7.2,48.0,36.0,36.0,4000.0,36.5,35000,30.0,"Kharif, Rabi",26.5,70.0,1000.0,27314
58,Turmeric,Spices,False,120,Medium,6.0,7.2,57.8,43.3,43.3,817.5,35,32000,18.0,"Kharif, Rabi, Zaid",26.5,70.0,1349.5,334
59,Watermelon,Fruit,False,120,Low,5.8,7.2,99.0,17.5,50.5,4000.0,35,15000,30.0,"Kharif, Rabi",25.6,85.2,50.7,100
60,Wheat,Cereal,False,110,Medium,5.8,7.2,72.2,36.1,36.1,675.8,23.75,18000,18.0,"Kharif, Rabi, Zaid",26.5,70.0,1246.2,78157
